education,age,treatment,welfare,female,ega,income,emp_priv,emp_pub,pubtransfer,preschool
3,64,0,5,1,9,10,0,0,0,0
6,57,0,3,0,12,14,1,0,0,0
1,64,1,10,1,11,3,0,0,1,0
4,37,1,7,0,7,10,1,0,0,1
1,53,0,9,1,10,8,0,0,0,0
3,72,0,6,0,5,10,0,0,1,0
1,56,0,7,0,9,7,0,1,0,0
3,56,1,5,0,10,8,1,0,0,0
1,52,1,9,0,3,16,1,0,0,0
6,35,0,6,1,5,2,0,1,0,1
5,62,1,6,0,9,10,1,0,0,0
3,43,1,6,0,9,2,0,0,1,0
1,53,1,10,1,10,6,1,0,0,0
5,71,1,6,1,6,3,0,0,1,0
5,70,0,8,1,10,4,0,1,0,0
1,70,1,4,0,10,2,0,0,1,0
6,63,1,4,0,14,10,0,1,0,0
4,48,0,8,0,10,9,0,1,0,0
5,70,0,5,0,5,4,0,0,1,0
3,35,0,6,0,4,9,1,0,0,0
3,48,0,8,1,11,7,0,1,0,0
6,40,0,6,0,3,11,0,1,0,1
4,73,0,4,1,9,5,0,0,1,0
6,71,1,4,1,14,4,0,0,1,0
4,48,0,8,0,9,6,0,0,1,0
5,62,0,10,0,7,15,0,0,0,0
5,60,1,8,0,5,10,0,1,0,0
4,40,0,8,1,4,7,1,0,0,0
1,56,0,5,0,9,3,0,0,1,0
1,67,0,7,0,10,3,0,0,1,0
3,32,0,7,0,3,9,1,0,0,1
4,72,0,4,1,11,5,0,0,1,0
1,62,0,8,0,8,8,0,0,1,0
3,50,1,2,1,11,2,0,0,1,0
1,72,0,3,0,14,3,0,0,1,0
6,44,0,8,0,4,14,1,0,0,0
5,54,0,10,0,6,12,1,0,0,0
6,44,0,9,1,5,7,0,1,0,0
3,64,1,4,0,11,5,0,0,1,0
6,73,1,10,1,6,14,0,0,1,0
3,39,1,5,1,13,5,1,0,0,0
3,47,0,8,0,11,4,0,0,1,0
3,69,0,8,0,7,9,0,0,1,0
5,54,0,7,1,7,11,1,0,0,0
1,36,0,10,0,12,8,1,0,0,0
4,37,1,10,0,5,14,0,0,0,0
5,70,1,5,1,8,4,0,0,1,0
3,76,1,7,0,8,2,0,0,1,0
1,61,0,6,0,12,2,0,0,1,0
3,73,1,3,1,10,6,0,0,1,0
3,42,0,4,0,6,8,1,0,0,0
5,57,0,4,1,12,8,0,1,0,0
6,51,0,4,0,12,15,1,0,0,0
6,76,1,6,0,3,14,0,0,1,0
3,42,0,4,1,12,11,0,0,1,0
5,59,1,6,1,7,4,0,0,0,0
3,52,0,9,1,5,11,1,0,0,0
3,69,0,9,1,7,1,0,0,1,0
6,71,0,9,0,6,12,0,0,1,0
5,70,1,5,1,3,6,0,0,1,0
5,45,1,3,0,5,6,1,0,0,0
3,44,1,9,1,11,8,0,1,0,0
3,44,0,10,0,4,8,1,0,0,0
5,37,0,7,1,5,5,0,1,0,1
3,57,0,3,0,7,9,1,0,0,0
1,70,0,10,1,10,2,0,0,1,0
1,64,1,2,0,7,3,0,0,1,0
5,72,0,7,1,7,9,0,0,1,0
1,67,0,9,0,10,5,0,0,1,0
4,71,0,8,1,9,3,0,0,1,0
6,61,0,5,1,9,7,0,0,0,0
3,39,1,7,0,6,8,1,0,0,1
4,67,0,8,1,9,4,0,0,1,0
3,66,0,8,0,11,4,0,0,1,0
5,73,1,3,1,13,6,0,0,1,0
5,25,1,4,1,6,8,1,0,1,0
4,37,1,4,0,7,7,1,0,0,1
6,23,0,7,1,5,2,0,1,0,0
2,44,0,5,1,10,2,0,0,1,0
6,31,0,4,1,11,8,1,0,0,0
4,45,0,5,1,8,7,1,0,0,0
6,63,1,6,0,4,8,0,0,1,0
1,65,0,9,0,13,6,0,0,1,0
1,48,1,7,0,12,7,1,0,0,0
5,34,0,7,1,6,15,0,1,0,1
4,33,0,9,0,11,2,1,0,0,0
5,27,0,5,1,11,7,1,0,0,0
6,75,0,8,0,7,9,0,0,1,0
6,80,0,4,0,11,7,0,0,1,0
3,71,0,6,1,13,11,0,0,1,0
5,53,1,6,0,10,9,1,0,0,0
5,74,0,9,1,7,6,0,0,1,0
4,59,0,5,0,10,11,1,0,0,0
6,40,0,9,0,7,11,1,0,0,0
1,66,1,4,1,8,2,0,0,1,0
5,32,1,2,1,9,8,0,0,1,0
6,35,1,5,0,9,8,1,0,0,1
5,59,0,4,1,9,14,1,0,0,0
4,62,1,6,0,10,7,0,0,1,0
6,54,1,2,0,13,12,0,1,0,0
3,69,1,8,0,5,6,0,0,1,0
6,38,1,2,0,12,9,1,0,0,1
5,78,0,5,1,7,3,0,0,1,0
3,70,0,8,0,11,8,0,0,1,0
1,43,1,8,0,6,12,1,0,0,0
4,60,1,10,1,11,2,0,0,1,0
5,59,0,8,0,9,8,0,1,0,0
2,20,1,2,1,11,1,0,1,1,0
3,62,0,10,1,13,1,0,0,1,0
6,54,1,6,0,13,5,1,0,0,0
5,40,1,8,1,6,8,0,1,0,1
3,37,0,5,0,11,10,1,0,0,1
4,64,1,8,0,11,7,0,0,1,0
3,32,1,7,0,10,12,1,0,0,1
3,64,1,8,1,6,5,0,0,1,0
6,72,0,8,1,5,15,0,0,1,0
3,73,0,4,1,11,7,0,0,1,0
5,33,1,5,0,5,11,0,1,0,1
5,71,1,9,1,10,2,0,0,1,0
6,51,1,4,0,11,11,1,0,0,0
5,72,0,7,1,7,6,0,0,1,0
1,78,0,7,0,7,8,0,0,1,0
3,71,0,6,0,6,6,0,0,0,0
5,45,0,9,0,3,11,0,1,0,0
5,71,0,4,1,12,5,0,0,1,0
5,70,1,6,1,13,6,0,0,1,0
3,44,0,9,0,5,9,1,0,0,0
4,63,1,5,1,10,10,0,1,0,0
3,65,0,5,1,9,1,0,0,1,0
5,77,0,4,1,12,4,0,0,1,0
5,58,1,7,1,13,6,0,1,0,0
3,73,0,8,0,7,7,1,0,0,0
3,58,0,10,1,13,5,1,0,0,0
1,64,1,7,0,12,5,0,0,1,0
6,28,1,2,1,12,7,0,1,0,0
5,26,0,5,1,8,6,0,1,0,0
4,67,0,7,1,9,5,0,0,1,0
3,56,0,9,0,5,12,0,0,0,0
3,59,1,10,0,7,13,0,1,0,0
6,66,0,10,0,4,9,0,0,1,0
6,31,0,8,1,6,8,0,0,1,1
4,77,0,6,0,11,6,0,0,1,0
3,57,0,7,1,13,8,0,0,1,0
3,74,0,10,0,10,5,0,0,0,0
3,74,1,10,0,13,2,0,0,1,0
4,59,1,6,0,8,7,1,0,0,0
4,63,1,4,1,9,4,0,0,1,0
1,49,1,2,1,12,13,1,0,0,0
3,72,1,9,0,5,7,0,0,1,0
3,65,0,4,0,10,5,0,0,1,0
6,23,0,10,0,6,5,1,0,1,0
5,70,1,7,0,6,15,1,0,0,0
5,48,1,6,0,5,12,1,0,0,0
4,21,1,9,0,4,2,1,0,0,0
5,28,1,7,0,10,7,0,1,0,0
5,71,0,5,1,11,7,0,0,1,0
3,45,1,6,0,6,11,1,0,0,0
6,61,1,7,0,13,8,1,0,0,0
5,42,1,5,0,7,12,1,0,0,0
3,59,0,8,0,11,11,0,0,0,0
3,74,0,5,0,11,3,0,0,1,0
